!!!SBtab Document='Model'					
					
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'					
!ID	!ReactionFormula	!Name	!IsReversible	!KineticLaw:Name	!KineticLaw:Formula
GLUT2	glc_{ext} <=> glc	GLUT2	True	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_glc_{ext} / kM_R1_glc ) * ( glc_{ext} / kM_R1_glc_{ext} ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_glc_{ext} / kM_R1_glc ) * ( glc / kM_R1_glc ) ) / ( ( 1 + glc_{ext} / kM_R1_glc_{ext} ) + ( 1 + glc / kM_R1_glc ) - 1 )
Glucokinase	atp + glc <=> adp + glc6p	Glucokinase	True	Common saturable (CM)	u_R2 * ( kC_R2 * sqrt( kEQ_R2  * kM_R2_atp * kM_R2_glc / kM_R2_adp / kM_R2_glc6p ) * ( atp / kM_R2_atp ) * ( glc / kM_R2_glc ) - kC_R2 / sqrt( kEQ_R2  * kM_R2_atp * kM_R2_glc / kM_R2_adp / kM_R2_glc6p ) * ( adp / kM_R2_adp ) * ( glc6p / kM_R2_glc6p ) ) / ( ( 1 + atp / kM_R2_atp ) * ( 1 + glc / kM_R2_glc ) + ( 1 + adp / kM_R2_adp ) * ( 1 + glc6p / kM_R2_glc6p ) - 1 )
G6Pase	h2o + glc6p <=> p + glc	G6Pase	True	Common saturable (CM)	u_R3 * ( kC_R3 * sqrt( kEQ_R3  * kM_R3_h2o * kM_R3_glc6p / kM_R3_p / kM_R3_glc ) * ( h2o / kM_R3_h2o ) * ( glc6p / kM_R3_glc6p ) - kC_R3 / sqrt( kEQ_R3  * kM_R3_h2o * kM_R3_glc6p / kM_R3_p / kM_R3_glc ) * ( p / kM_R3_p ) * ( glc / kM_R3_glc ) ) / ( ( 1 + h2o / kM_R3_h2o ) * ( 1 + glc6p / kM_R3_glc6p ) + ( 1 + p / kM_R3_p ) * ( 1 + glc / kM_R3_glc ) - 1 )
GPI	glc6p <=> fru6p	GPI	True	Common saturable (CM)	u_R4 * ( kC_R4 * sqrt( kEQ_R4  * kM_R4_glc6p / kM_R4_fru6p ) * ( glc6p / kM_R4_glc6p ) - kC_R4 / sqrt( kEQ_R4  * kM_R4_glc6p / kM_R4_fru6p ) * ( fru6p / kM_R4_fru6p ) ) / ( ( 1 + glc6p / kM_R4_glc6p ) + ( 1 + fru6p / kM_R4_fru6p ) - 1 )
G16PI	glc1p <=> glc6p	G16PI	True	Common saturable (CM)	u_R5 * ( kC_R5 * sqrt( kEQ_R5  * kM_R5_glc1p / kM_R5_glc6p ) * ( glc1p / kM_R5_glc1p ) - kC_R5 / sqrt( kEQ_R5  * kM_R5_glc1p / kM_R5_glc6p ) * ( glc6p / kM_R5_glc6p ) ) / ( ( 1 + glc1p / kM_R5_glc1p ) + ( 1 + glc6p / kM_R5_glc6p ) - 1 )
UPGase	utp + glc1p <=> pp + udpglc	UPGase	True	Common saturable (CM)	u_R6 * ( kC_R6 * sqrt( kEQ_R6  * kM_R6_utp * kM_R6_glc1p / kM_R6_pp / kM_R6_udpglc ) * ( utp / kM_R6_utp ) * ( glc1p / kM_R6_glc1p ) - kC_R6 / sqrt( kEQ_R6  * kM_R6_utp * kM_R6_glc1p / kM_R6_pp / kM_R6_udpglc ) * ( pp / kM_R6_pp ) * ( udpglc / kM_R6_udpglc ) ) / ( ( 1 + utp / kM_R6_utp ) * ( 1 + glc1p / kM_R6_glc1p ) + ( 1 + pp / kM_R6_pp ) * ( 1 + udpglc / kM_R6_udpglc ) - 1 )
PPase	pp + h2o <=> 2 p	PPase	True	Common saturable (CM)	u_R7 * ( kC_R7 * sqrt( kEQ_R7  * kM_R7_pp * kM_R7_h2o / power( kM_R7_p , 2 ) ) * ( pp / kM_R7_pp ) * ( h2o / kM_R7_h2o ) - kC_R7 / sqrt( kEQ_R7  * kM_R7_pp * kM_R7_h2o / power( kM_R7_p , 2 ) ) * power( p / kM_R7_p , 2 ) ) / ( ( 1 + pp / kM_R7_pp ) * ( 1 + h2o / kM_R7_h2o ) + power( 1 + p / kM_R7_p , 2 ) - 1 )
GS	udpglc <=> udp + glyglc	GS	True	Common saturable (CM)	u_R8 * ( kC_R8 * sqrt( kEQ_R8  * kM_R8_udpglc / kM_R8_udp / kM_R8_glyglc ) * ( udpglc / kM_R8_udpglc ) - kC_R8 / sqrt( kEQ_R8  * kM_R8_udpglc / kM_R8_udp / kM_R8_glyglc ) * ( udp / kM_R8_udp ) * ( glyglc / kM_R8_glyglc ) ) / ( ( 1 + udpglc / kM_R8_udpglc ) + ( 1 + udp / kM_R8_udp ) * ( 1 + glyglc / kM_R8_glyglc ) - 1 )
GP	p + glyglc <=> glc1p	GP	True	Common saturable (CM)	u_R9 * ( kC_R9 * sqrt( kEQ_R9  * kM_R9_p * kM_R9_glyglc / kM_R9_glc1p ) * ( p / kM_R9_p ) * ( glyglc / kM_R9_glyglc ) - kC_R9 / sqrt( kEQ_R9  * kM_R9_p * kM_R9_glyglc / kM_R9_glc1p ) * ( glc1p / kM_R9_glc1p ) ) / ( ( 1 + p / kM_R9_p ) * ( 1 + glyglc / kM_R9_glyglc ) + ( 1 + glc1p / kM_R9_glc1p ) - 1 )
NTK__GTP_	atp + gdp <=> adp + gtp	NTK__GTP_	True	Common saturable (CM)	u_R10 * ( kC_R10 * sqrt( kEQ_R10  * kM_R10_atp * kM_R10_gdp / kM_R10_adp / kM_R10_gtp ) * ( atp / kM_R10_atp ) * ( gdp / kM_R10_gdp ) - kC_R10 / sqrt( kEQ_R10  * kM_R10_atp * kM_R10_gdp / kM_R10_adp / kM_R10_gtp ) * ( adp / kM_R10_adp ) * ( gtp / kM_R10_gtp ) ) / ( ( 1 + atp / kM_R10_atp ) * ( 1 + gdp / kM_R10_gdp ) + ( 1 + adp / kM_R10_adp ) * ( 1 + gtp / kM_R10_gtp ) - 1 )
