!!SBtab TableName='Reaction' TableType='Reaction' Document='Model' SBtabVersion='0.9'			
!ID	!ReactionFormula	!Name	!IsReversible
_3HAD100	_3hdecACP_c_ <=> h2o_c_ + tdec2eACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	False
_3HAD120	_3hddecACP_c_ <=> h2o_c_ + tddec2eACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	False
_3HAD121	_3hcddec5eACP_c_ <=> h2o_c_ + t3c5ddeceACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	False
_3HAD140	_3hmrsACP_c_ <=> h2o_c_ + tmrs2eACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	False
_3HAD141	_3hcmrs7eACP_c_ <=> h2o_c_ + t3c7mrseACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	False
_3HAD160	_3hpalmACP_c_ <=> h2o_c_ + tpalm2eACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	False
_3HAD161	_3hcpalm9eACP_c_ <=> h2o_c_ + t3c9palmeACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	False
_3HAD40	_3haACP_c_ <=> but2eACP_c_ + h2o_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	False
_3HAD60	_3hhexACP_c_ <=> h2o_c_ + thex2eACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	False
_3HAD80	_3hoctACP_c_ <=> h2o_c_ + toct2eACP_c_	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	False
_3OAR100	_3odecACP_c_ + h_c_ + nadph_c_ <=> _3hdecACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	True
_3OAR120	_3oddecACP_c_ + h_c_ + nadph_c_ <=> _3hddecACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	True
_3OAR121	_3ocddec5eACP_c_ + h_c_ + nadph_c_ <=> _3hcddec5eACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	False
_3OAR140	_3omrsACP_c_ + h_c_ + nadph_c_ <=> _3hmrsACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	True
_3OAR141	_3ocmrs7eACP_c_ + h_c_ + nadph_c_ <=> _3hcmrs7eACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	False
_3OAR160	_3opalmACP_c_ + h_c_ + nadph_c_ <=> _3hpalmACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	True
_3OAR161	_3ocpalm9eACP_c_ + h_c_ + nadph_c_ <=> _3hcpalm9eACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	False
_3OAR40	actACP_c_ + h_c_ + nadph_c_ <=> _3haACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	True
_3OAR60	_3ohexACP_c_ + h_c_ + nadph_c_ <=> _3hhexACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	True
_3OAR80	_3ooctACP_c_ + h_c_ + nadph_c_ <=> _3hoctACP_c_ + nadp_c_	 3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	True
_3OAS100	h_c_ + malACP_c_ + ocACP_c_ <=> _3odecACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	False
_3OAS120	dcaACP_c_ + h_c_ + malACP_c_ <=> _3oddecACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	False
_3OAS121	cdec3eACP_c_ + h_c_ + malACP_c_ <=> _3ocddec5eACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	False
_3OAS140	ddcaACP_c_ + h_c_ + malACP_c_ <=> _3omrsACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	False
_3OAS141	cddec5eACP_c_ + h_c_ + malACP_c_ <=> _3ocmrs7eACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	False
_3OAS160	h_c_ + malACP_c_ + myrsACP_c_ <=> _3opalmACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	False
_3OAS161	h_c_ + malACP_c_ + tdeACP_c_ <=> _3ocpalm9eACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	False
_3OAS60	butACP_c_ + h_c_ + malACP_c_ <=> _3ohexACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	False
_3OAS80	h_c_ + hexACP_c_ + malACP_c_ <=> _3ooctACP_c_ + ACP_c_ + co2_c_	 3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	False
_3PEPTabcpp	LalaDgluMdap_p_ + atp_c_ + h2o_c_ <=> LalaDgluMdap_c_ + adp_c_ + h_c_ + pi_c_	tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	False
_5DGLCNR	_5dglcn_c_ + h_c_ + nadph_c_ <=> glcn_c_ + nadp_c_	 5-dehydro-D-gluconate reductase	True
_5DOAN	dad_5_c_ + h2o_c_ <=> _5drib_c_ + ade_c_	 5'-deoxyadenosine nuclosidase	False
A5PISO	ru5p_D_c_ <=> ara5p_c_	arabinose-5-phosphate isomerase	True
ACACT1r	2 accoa_c_ <=> aacoa_c_ + coa_c_	acetyl-CoA C-acetyltransferase	True
ACALD	acald_c_ + coa_c_ + nad_c_ <=> accoa_c_ + h_c_ + nadh_c_	acetaldehyde dehydrogenase (acetylating)	True
ACALDtex	acald_e_ <=> acald_p_	acetaldehyde transport via diffusion (extracellular to periplasm)	True
ACALDtpp	acald_p_ <=> acald_c_	acetaldehyde reversible transport (periplasm)	True
ACCOAC	accoa_c_ + atp_c_ + hco3_c_ <=> adp_c_ + h_c_ + malcoa_c_ + pi_c_	acetyl-CoA carboxylase	False
ACGAMK	acgam_c_ + atp_c_ <=> acgam6p_c_ + adp_c_ + h_c_	N-acetylglucosamine kinase	False
ACGK	acglu_c_ + atp_c_ <=> acg5p_c_ + adp_c_	acetylglutamate kinase	False
ACGS	accoa_c_ + glu_L_c_ <=> acglu_c_ + coa_c_ + h_c_	N-acetylglutamate synthase	False
ACHBS	_2obut_c_ + h_c_ + pyr_c_ <=> _2ahbut_c_ + co2_c_	 2-aceto-2-hydroxybutanoate synthase	False
ACKr	ac_c_ + atp_c_ <=> actp_c_ + adp_c_	acetate kinase	True
ACLS	h_c_ + 2 pyr_c_ <=> alac_S_c_ + co2_c_	acetolactate synthase	False
ACM6PH	acmum6p_c_ + h2o_c_ <=> acgam6p_c_ + lac_D_c_	N-acetylmuramate 6-phosphate hydrolase	False
ACOAD1f	btcoa_c_ + fad_c_ <=> b2coa_c_ + fadh2_c_	acyl-CoA dehydrogenase (butanoyl-CoA)	True
ACOAD2f	fad_c_ + hxcoa_c_ <=> fadh2_c_ + hx2coa_c_	acyl-CoA dehydrogenase (hexanoyl-CoA)	True
ACOAD3f	fad_c_ + occoa_c_ <=> fadh2_c_ + oc2coa_c_	acyl-CoA dehydrogenase (octanoyl-CoA)	True
ACOAD4f	dcacoa_c_ + fad_c_ <=> dc2coa_c_ + fadh2_c_	acyl-CoA dehydrogenase (decanoyl-CoA)	True
ACOAD5f	ddcacoa_c_ + fad_c_ <=> dd2coa_c_ + fadh2_c_	acyl-CoA dehydrogenase (dodecanoyl-CoA)	True
ACODA	acorn_c_ + h2o_c_ <=> ac_c_ + orn_c_	acetylornithine deacetylase	False
ACOLIPAtex	acolipa_p_ <=> acolipa_e_	arabinose modified core oligosaccharide lipid A transport via vector (periplasm to extracellular)	False
ACONTa	cit_c_ <=> acon_C_c_ + h2o_c_	aconitase (half-reaction A, Citrate hydro-lyase)	True
ACONTb	acon_C_c_ + h2o_c_ <=> icit_c_	aconitase (half-reaction B, Isocitrate hydro-lyase)	True
ACOTA	acorn_c_ + akg_c_ <=> acg5sa_c_ + glu_L_c_	acetylornithine transaminase	True
ACS	ac_c_ + atp_c_ + coa_c_ <=> accoa_c_ + amp_c_ + ppi_c_	acetyl-CoA synthetase	False
ACt2rpp	ac_p_ + h_p_ <=> ac_c_ + h_c_	acetate reversible transport via proton symport (periplasm)	True
ACt4pp	ac_p_ + na1_p_ <=> ac_c_ + na1_c_	Na+/Acetate symport (periplasm)	False
ACtex	ac_e_ <=> ac_p_	Acetate transport via diffusion (extracellular to periplasm)	True
ADCL	_4adcho_c_ <=> _4abz_c_ + h_c_ + pyr_c_	 4-aminobenzoate synthase	False
ADCS	chor_c_ + gln_L_c_ <=> _4adcho_c_ + glu_L_c_	 4-amino-4-deoxychorismate synthase	False
ADK1	amp_c_ + atp_c_ <=> 2 adp_c_	adenylate kinase	True
ADK4	amp_c_ + itp_c_ <=> adp_c_ + idp_c_	adentylate kinase (ITP)	True
ADNCYC	atp_c_ <=> camp_c_ + ppi_c_	adenylate cyclase	False
ADNK1	adn_c_ + atp_c_ <=> adp_c_ + amp_c_ + h_c_	adenosine kinase	False
ADPRDP	adprib_c_ + h2o_c_ <=> amp_c_ + 2 h_c_ + r5p_c_	ADPribose diphosphatase	False
