!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		56970000	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.3636	dimensionless	R02740	
equilibrium constant	PFK_R04779		1760	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.1889	dimensionless	R01070	
equilibrium constant	TIM_R01015		0.299	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.0007093	dimensionless	R01061	
equilibrium constant	PGK_R01512		1186	dimensionless	R01512	
equilibrium constant	PGM_R01518		0.2759	dimensionless	R01518	
equilibrium constant	PGH_R00658		5.178	dimensionless	R00658	
equilibrium constant	PYK_R00200		12450	dimensionless	R00200	
equilibrium constant	PDH_R00209		1667000	dimensionless	R00209	
equilibrium constant	ZWF_R00835		7.56	dimensionless	R00835	
equilibrium constant	GLH_R02035		14290	dimensionless	R02035	
equilibrium constant	PGD_R01528		10.58	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.954	dimensionless	R01056	
equilibrium constant	RPE_R01529		3.898	dimensionless	R01529	
equilibrium constant	TXT_R01641		4.743	dimensionless	R01641	
equilibrium constant	TAL_R08575		1.303	dimensionless	R08575	
equilibrium constant	TXT_R01067		59.58	dimensionless	R01067	
equilibrium constant	CSN_R00351		1444000	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.02941	dimensionless	R01325	
equilibrium constant	ACN_R01900		1.57	dimensionless	R01900	
equilibrium constant	ICD_R00709		99.97	dimensionless	R00709	
equilibrium constant	KGD_R08549		92250	dimensionless	R08549	
equilibrium constant	SCS_R00405		0.9478	dimensionless	R00405	
equilibrium constant	SDH_R02164		5989	dimensionless	R02164	
equilibrium constant	FUM_R01082		5.055	dimensionless	R01082	
equilibrium constant	MDH_R00342		6.06e-05	dimensionless	R00342	
equilibrium constant	PPC_R00345		3.744e-07	dimensionless	R00345	
equilibrium constant	Overflow		0.2182	dimensionless	Overflow	
equilibrium constant	OxAConsumption		1.019	dimensionless	OxAConsumption	
catalytic rate constant geometric mean	PTS_RPTSsy		37.9	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		170.5	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		70.33	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		200	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		1055	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		172.2	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		236.4	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		117.9	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		87.8	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		3.475	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		1.976	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		314.7	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		8.243	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		52.1	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		1122	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		485.6	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		178.4	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		4.791	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		124.9	1/s	R01067	
catalytic rate constant geometric mean	CSN_R00351		69.76	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		24.45	1/s	R01325	
catalytic rate constant geometric mean	ACN_R01900		138	1/s	R01900	
catalytic rate constant geometric mean	ICD_R00709		56.7	1/s	R00709	
catalytic rate constant geometric mean	KGD_R08549		200	1/s	R08549	
catalytic rate constant geometric mean	SCS_R00405		95.7	1/s	R00405	
catalytic rate constant geometric mean	SDH_R02164		82.75	1/s	R02164	
catalytic rate constant geometric mean	FUM_R01082		217.2	1/s	R01082	
catalytic rate constant geometric mean	MDH_R00342		484.3	1/s	R00342	
catalytic rate constant geometric mean	PPC_R00345		595.4	1/s	R00345	
catalytic rate constant geometric mean	Overflow		200	1/s	Overflow	
catalytic rate constant geometric mean	OxAConsumption		200	1/s	OxAConsumption	
Michaelis constant	FUM_R01082	_S__Malate	0.513	mM	R01082	C00149
Michaelis constant	MDH_R00342	_S__Malate	1.864	mM	R00342	C00149
Michaelis constant	PDH_R00209	Acetyl_CoA	0.03064	mM	R00209	C00024
Michaelis constant	CSN_R00351	Acetyl_CoA	0.0136	mM	R00351	C00024
Michaelis constant	Overflow	Acetyl_CoA	0.08071	mM	Overflow	C00024
Michaelis constant	SDH_R02164	Fumarate	0.1044	mM	R02164	C00122
Michaelis constant	FUM_R01082	Fumarate	0.2271	mM	R01082	C00122
Michaelis constant	ACN_R01325	cis_Aconitate	0.01977	mM	R01325	C00417
Michaelis constant	ACN_R01900	cis_Aconitate	0.01985	mM	R01900	C00417
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	0.02904	mM	R02035	C00345
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.0153	mM	R01528	C00345
Michaelis constant	GAP_R01061	Orthophosphate	2.01	mM	R01061	C00009
Michaelis constant	SCS_R00405	Orthophosphate	1.629	mM	R00405	C00009
Michaelis constant	PPC_R00345	Orthophosphate	197.7	mM	R00345	C00009
Michaelis constant	PTS_RPTSsy	Pyruvate	13.74	mM	RPTSsy	C00022
Michaelis constant	PYK_R00200	Pyruvate	0.555	mM	R00200	C00022
Michaelis constant	PDH_R00209	Pyruvate	0.01001	mM	R00209	C00022
Michaelis constant	ZWF_R00835	NADPplus	0.004107	mM	R00835	C00006
Michaelis constant	PGD_R01528	NADPplus	0.01442	mM	R01528	C00006
Michaelis constant	ZWF_R00835	NADPH	0.01197	mM	R00835	C00005
Michaelis constant	PGD_R01528	NADPH	0.0007758	mM	R01528	C00005
Michaelis constant	GAP_R01061	NADH	0.02931	mM	R01061	C00004
Michaelis constant	PDH_R00209	NADH	0.4544	mM	R00209	C00004
Michaelis constant	ICD_R00709	NADH	1.752	mM	R00709	C00004
Michaelis constant	KGD_R08549	NADH	2.742	mM	R08549	C00004
Michaelis constant	MDH_R00342	NADH	0.008715	mM	R00342	C00004
Michaelis constant	GAP_R01061	NADplus	0.1812	mM	R01061	C00003
